dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
7/11/2020,11,7,2020,6,0,Finland,FI,FIN,5517919,Europe,1.59480413
7/10/2020,10,7,2020,8,0,Finland,FI,FIN,5517919,Europe,1.83040019
7/9/2020,9,7,2020,3,0,Finland,FI,FIN,5517919,Europe,1.77603187
7/8/2020,8,7,2020,5,0,Finland,FI,FIN,5517919,Europe,1.93913684
7/7/2020,7,7,2020,4,0,Finland,FI,FIN,5517919,Europe,2.04787348
7/6/2020,6,7,2020,5,0,Finland,FI,FIN,5517919,Europe,1.99350516
7/5/2020,5,7,2020,6,0,Finland,FI,FIN,5517919,Europe,1.92101406
7/4/2020,4,7,2020,NaN,1,Finland,FI,FIN,5517919,Europe,1.97538239
7/3/2020,3,7,2020,5,0,Finland,FI,FIN,5517919,Europe,2.247224
7/2/2020,2,7,2020,22,0,Finland,FI,FIN,5517919,Europe,2.15661013
7/1/2020,1,7,2020,5,0,Finland,FI,FIN,5517919,Europe,1.84852297
6/30/2020,30,6,2020,18,0,Finland,FI,FIN,5517919,Europe,1.83040019
6/29/2020,29,6,2020,0,0,Finland,FI,FIN,5517919,Europe,1.57668135
6/28/2020,28,6,2020,0,0,Finland,FI,FIN,5517919,Europe,1.88476852
6/27/2020,27,6,2020,19,1,Finland,FI,FIN,5517919,Europe,2.13848735
6/26/2020,26,6,2020,5,0,Finland,FI,FIN,5517919,Europe,1.95725961
6/25/2020,25,6,2020,12,0,Finland,FI,FIN,5517919,Europe,2.30159232
6/24/2020,24,6,2020,11,0,Finland,FI,FIN,5517919,Europe,2.35596064
6/23/2020,23,6,2020,1,1,Finland,FI,FIN,5517919,Europe,2.59155671
6/22/2020,22,6,2020,1,0,Finland,FI,FIN,5517919,Europe,2.93588942
6/21/2020,21,6,2020,9,0,Finland,FI,FIN,5517919,Europe,3.2258538
6/20/2020,20,6,2020,16,0,Finland,FI,FIN,5517919,Europe,3.47957264
6/19/2020,19,6,2020,0,0,Finland,FI,FIN,5517919,Europe,3.73329148
6/18/2020,18,6,2020,5,0,Finland,FI,FIN,5517919,Europe,3.73329148
6/17/2020,17,6,2020,4,0,Finland,FI,FIN,5517919,Europe,4.07762419
6/16/2020,16,6,2020,NaN,0,Finland,FI,FIN,5517919,Europe,4.04137864
6/15/2020,15,6,2020,17,1,Finland,FI,FIN,5517919,Europe,4.44007967
6/14/2020,14,6,2020,14,0,Finland,FI,FIN,5517919,Europe,4.73004406
6/13/2020,13,6,2020,9,0,Finland,FI,FIN,5517919,Europe,5.38246393
6/12/2020,12,6,2020,24,1,Finland,FI,FIN,5517919,Europe,5.81741051
6/11/2020,11,6,2020,NaN,0,Finland,FI,FIN,5517919,Europe,6.30672542
6/10/2020,10,6,2020,24,1,Finland,FI,FIN,5517919,Europe,7.19474135
6/9/2020,9,6,2020,20,0,Finland,FI,FIN,5517919,Europe,7.28535522
6/8/2020,8,6,2020,17,1,Finland,FI,FIN,5517919,Europe,7.28535522
6/7/2020,7,6,2020,23,0,Finland,FI,FIN,5517919,Europe,7.17661858
6/6/2020,6,6,2020,30,0,Finland,FI,FIN,5517919,Europe,7.32160077
6/5/2020,5,6,2020,0,1,Finland,FI,FIN,5517919,Europe,7.57531961
6/4/2020,4,6,2020,24,1,Finland,FI,FIN,5517919,Europe,8.48145832
6/3/2020,3,6,2020,2,0,Finland,FI,FIN,5517919,Europe,8.8439138
6/2/2020,2,6,2020,26,0,Finland,FI,FIN,5517919,Europe,9.15200096
6/1/2020,1,6,2020,33,4,Finland,FI,FIN,5517919,Europe,9.27886038
5/31/2020,31,5,2020,50,2,Finland,FI,FIN,5517919,Europe,9.78629806
5/30/2020,30,5,2020,33,1,Finland,FI,FIN,5517919,Europe,9.93128025
5/29/2020,29,5,2020,51,0,Finland,FI,FIN,5517919,Europe,10.83741896
5/28/2020,28,5,2020,64,1,Finland,FI,FIN,5517919,Europe,11.56232993
5/27/2020,27,5,2020,29,4,Finland,FI,FIN,5517919,Europe,11.32673386
5/26/2020,26,5,2020,20,1,Finland,FI,FIN,5517919,Europe,11.14550612
5/25/2020,25,5,2020,11,1,Finland,FI,FIN,5517919,Europe,11.18175167
5/24/2020,24,5,2020,31,0,Finland,FI,FIN,5517919,Europe,12.46846864
5/23/2020,23,5,2020,44,0,Finland,FI,FIN,5517919,Europe,14.48009657
5/22/2020,22,5,2020,NaN,2,Finland,FI,FIN,5517919,Europe,14.86067483
5/21/2020,21,5,2020,44,3,Finland,FI,FIN,5517919,Europe,15.76681354
5/20/2020,20,5,2020,19,1,Finland,FI,FIN,5517919,Europe,17.88717812
5/19/2020,19,5,2020,33,2,Finland,FI,FIN,5517919,Europe,19.08328122
5/18/2020,18,5,2020,61,1,Finland,FI,FIN,5517919,Europe,19.80819218
5/17/2020,17,5,2020,58,4,Finland,FI,FIN,5517919,Europe,20.06191102
5/16/2020,16,5,2020,83,6,Finland,FI,FIN,5517919,Europe,21.33050521
5/15/2020,15,5,2020,91,3,Finland,FI,FIN,5517919,Europe,20.84119031
